Title,YouTube URL,Description URL,Description URL Status
MySQL for Beginners: Loading the Sample 'SAKILA' Database Using CLI and Workbench,https://youtube.com/watch?v=HPFhG3Z4uMI,https://www.supersqa.com/sql-course,The URL is valid and the website is up and running
MySQL for Beginners: Loading the Sample 'SAKILA' Database Using CLI and Workbench,https://youtube.com/watch?v=HPFhG3Z4uMI,https://www.supersqa.com/qa-automatio...,
MySQL for Beginners: Loading the Sample 'SAKILA' Database Using CLI and Workbench,https://youtube.com/watch?v=HPFhG3Z4uMI,https://dev.mysql.com/doc/index-other...,
MySQL for Beginners: Loading the Sample 'SAKILA' Database Using CLI and Workbench,https://youtube.com/watch?v=HPFhG3Z4uMI,https://www.supersqa.com/sql-course,The URL is valid and the website is up and running
MySQL for Beginners: Loading the Sample 'SAKILA' Database Using CLI and Workbench,https://youtube.com/watch?v=HPFhG3Z4uMI,https://www.supersqa.com/qa-automatio...,
MySQL for Beginners: Loading the Sample 'SAKILA' Database Using CLI and Workbench,https://youtube.com/watch?v=HPFhG3Z4uMI,https://www.supersqa.com,The URL is valid and the website is up and running
MySQL for Beginners: Loading the Sample 'WORLD' Database Using CLI and Workbench,https://youtube.com/watch?v=6q91bNswI5w,https://www.supersqa.com/sql-course,The URL is valid and the website is up and running
MySQL for Beginners: Loading the Sample 'WORLD' Database Using CLI and Workbench,https://youtube.com/watch?v=6q91bNswI5w,https://www.supersqa.com/qa-automatio...,
MySQL for Beginners: Loading the Sample 'WORLD' Database Using CLI and Workbench,https://youtube.com/watch?v=6q91bNswI5w,https://dev.mysql.com/doc/index-other...,
MySQL for Beginners: Loading the Sample 'WORLD' Database Using CLI and Workbench,https://youtube.com/watch?v=6q91bNswI5w,https://www.supersqa.com/sql-course,The URL is valid and the website is up and running
MySQL for Beginners: Loading the Sample 'WORLD' Database Using CLI and Workbench,https://youtube.com/watch?v=6q91bNswI5w,https://www.supersqa.com/qa-automatio...,
MySQL for Beginners: Loading the Sample 'WORLD' Database Using CLI and Workbench,https://youtube.com/watch?v=6q91bNswI5w,https://www.supersqa.com,The URL is valid and the website is up and running
SQL Introduction: What is SQL? What Is It Used For and Examples,https://youtube.com/watch?v=I0tRTyRvVO0,https://www.supersqa.com/sql-course,The URL is valid and the website is up and running
SQL Introduction: What is SQL? What Is It Used For and Examples,https://youtube.com/watch?v=I0tRTyRvVO0,https://www.supersqa.com/qa-automatio...,
SQL Introduction: What is SQL? What Is It Used For and Examples,https://youtube.com/watch?v=I0tRTyRvVO0,https://www.supersqa.com/sql-course,The URL is valid and the website is up and running
SQL Introduction: What is SQL? What Is It Used For and Examples,https://youtube.com/watch?v=I0tRTyRvVO0,https://www.supersqa.com/qa-automatio...,
SQL Introduction: What is SQL? What Is It Used For and Examples,https://youtube.com/watch?v=I0tRTyRvVO0,https://www.supersqa.com,The URL is valid and the website is up and running
Python Practice Exercise: Monitoring Database Availability,https://youtube.com/watch?v=lGpdjn5B-C4,https://m.do.co/c/b611ef1d7648,
Python Practice Exercise: Monitoring Database Availability,https://youtube.com/watch?v=lGpdjn5B-C4,https://www.supersqa.com/,The URL is valid and the website is up and running
Python Practice Exercise: Monitoring Database Availability,https://youtube.com/watch?v=lGpdjn5B-C4,https://www.supersqa.com/sql-course,The URL is valid and the website is up and running
Python Practice Exercise: Monitoring Database Availability,https://youtube.com/watch?v=lGpdjn5B-C4,https://www.supersqa.com/bootcamp,The URL is valid and the website is up and running
Python Practice Exercise: Monitoring Database Availability,https://youtube.com/watch?v=lGpdjn5B-C4,https://www.supersqa.com/qa-automatio...,
Hacked in Hours: Exposing the Danger of 'password' as Your Password,https://youtube.com/watch?v=AW7-sdyjqTs,https://m.do.co/c/b611ef1d7648,
Hacked in Hours: Exposing the Danger of 'password' as Your Password,https://youtube.com/watch?v=AW7-sdyjqTs,https://www.supersqa.com/,The URL is valid and the website is up and running
Hacked in Hours: Exposing the Danger of 'password' as Your Password,https://youtube.com/watch?v=AW7-sdyjqTs,https://www.supersqa.com/sql-course,The URL is valid and the website is up and running
Hacked in Hours: Exposing the Danger of 'password' as Your Password,https://youtube.com/watch?v=AW7-sdyjqTs,https://www.supersqa.com/bootcamp,The URL is valid and the website is up and running
Hacked in Hours: Exposing the Danger of 'password' as Your Password,https://youtube.com/watch?v=AW7-sdyjqTs,https://www.supersqa.com/qa-automatio...,
